Slope_Angle,Elevation,Soil_Type,Rainfall_72h,Soil_Saturation,Landslide_Risk
19.0,828.3,2,223.4,40.4,52.2
47.6,739.1,1,160.8,23.1,80.5
36.7,395.8,1,337.6,25.7,87.0
30.1,1339.9,2,76.6,30.4,35.5
8.2,1053.8,2,205.7,32.3,40.3
8.2,1905.9,2,245.1,35.6,37.6
3.4,80.3,3,288.9,36.7,2.4
43.4,1420.1,1,142.4,53.7,80.9
30.3,1680.9,2,240.4,58.3,71.3
35.5,1673.3,1,106.1,41.3,58.8
1.5,1950.5,2,152.4,92.1,44.6
48.5,1606.6,1,313.5,62.0,99.5
41.7,2041.9,1,332.5,81.9,99.5
11.0,738.5,1,251.6,93.6,73.4
9.5,1112.0,1,131.0,28.9,26.8
9.6,40.8,3,287.0,51.4,29.7
15.6,25.2,2,9.1,51.8,16.0
26.5,535.9,3,36.0,45.1,17.4
21.9,230.8,2,231.5,15.8,51.3
14.9,579.9,1,101.9,84.4,47.6
30.8,397.7,1,333.0,24.5,77.7
7.4,72.5,1,152.6,99.6,3.0
15.0,2001.4,1,150.3,80.7,58.8
18.6,28.0,2,237.3,64.3,61.3
23.1,1622.0,2,268.6,28.1,55.9
39.4,343.2,1,166.4,58.8,88.0
10.4,2007.8,1,74.9,37.2,17.2
26.0,1965.2,1,270.7,36.4,66.2
29.8,1442.0,1,112.1,85.5,70.0
2.8,1482.2,1,61.3,47.4,12.2
30.6,21.7,2,221.1,53.3,70.2
8.9,2166.9,1,31.7,86.7,27.9
3.7,1932.5,2,340.0,22.5,38.5
47.5,1970.3,1,221.3,65.5,99.5
48.3,1453.7,1,345.1,64.1,99.5
40.5,765.1,2,118.6,51.1,67.2
15.6,1967.1,2,339.9,85.5,64.8
5.3,648.4,1,50.9,95.1,28.5
34.4,1242.3,3,14.2,54.6,25.2
22.3,228.4,1,11.5,53.8,23.5
6.5,2029.1,1,162.7,57.7,42.8
25.0,318.3,2,29.1,76.5,38.2
2.2,502.5,2,179.3,71.8,48.1
45.5,1232.3,1,114.6,33.9,67.4
13.3,1683.4,1,117.5,20.4,26.2
33.3,1366.4,3,222.5,95.7,55.6
15.9,518.4,1,57.1,37.2,19.7
26.2,12.1,1,268.3,69.3,83.7
27.6,1668.2,2,203.7,85.4,79.4
9.7,2167.6,3,320.2,40.5,26.4
48.5,1783.7,1,127.7,69.0,86.2
38.9,1017.9,2,344.0,24.2,77.4
47.0,1989.3,2,201.5,97.4,99.1
44.8,907.6,2,340.7,19.9,80.8
30.1,1159.6,2,9.5,52.2,30.7
46.1,1054.9,3,254.8,60.6,57.9
4.9,990.3,1,285.8,82.2,60.5
10.2,1707.7,1,18.6,25.3,2.4
2.7,1163.6,3,202.6,52.5,25.4
16.6,703.6,2,280.7,40.5,48.5
19.7,575.4,2,196.4,41.5,49.0
13.9,92.7,2,22.3,81.2,24.5
41.5,1287.2,2,242.7,15.5,80.2
18.2,513.6,2,21.2,78.7,27.8
14.4,334.4,3,286.1,83.9,41.4
27.4,1441.9,2,15.1,91.6,41.1
7.5,1501.8,1,48.1,68.3,20.9
40.2,1657.2,2,96.3,43.3,60.7
4.2,1112.8,2,221.7,51.3,43.7
49.4,1968.0,2,341.7,97.4,99.5
38.7,2060.6,2,41.2,89.9,64.2
10.3,1778.1,1,49.9,54.4,19.1
0.8,1401.9,2,129.1,95.2,40.4
40.9,675.1,2,292.7,85.0,99.4
35.5,2162.6,2,163.5,91.6,82.6
36.6,610.4,2,112.6,73.1,68.0
38.7,453.8,1,196.4,87.9,99.5
4.2,978.3,2,91.2,90.8,31.0
18.2,134.5,2,140.4,22.8,31.8
6.2,2152.9,2,116.4,97.0,37.3
43.2,1298.7,2,281.4,43.4,85.4
31.4,1229.7,2,323.5,52.4,72.7
16.9,1446.2,1,265.9,82.3,75.2
3.6,1098.5,2,153.7,71.5,35.3
15.9,80.2,1,176.5,90.9,67.5
16.6,1351.0,2,43.8,49.0,18.8
36.6,1578.4,1,261.4,46.7,86.7
32.1,922.7,1,208.8,17.7,76.7
44.4,1668.5,2,315.9,54.3,84.6
23.9,507.1,2,70.2,76.5,40.9
6.4,494.6,2,265.9,40.6,42.1
35.8,363.5,2,239.6,54.3,80.6
38.2,824.7,2,93.0,33.6,51.2
28.3,1865.0,2,233.6,80.7,78.0
38.7,1823.1,2,323.5,20.1,77.2
24.9,848.4,2,321.5,75.0,72.4
26.4,1300.2,2,251.9,47.2,62.2
21.7,1588.6,2,16.8,18.5,17.3
1.8,538.2,3,305.3,87.5,35.4
5.8,378.2,1,230.2,56.5,50.4
2.1,2138.9,3,108.7,65.9,19.1
32.0,1362.5,1,65.5,77.2,60.0
16.1,2159.3,1,40.7,70.7,29.3
25.7,749.7,1,17.6,77.1,42.6
45.4,1549.6,2,263.9,79.8,95.2
12.8,497.5,1,82.5,65.1,31.7
20.8,582.0,3,8.5,46.1,12.9
37.9,1131.1,2,139.0,35.7,63.3
11.8,710.0,2,168.9,91.7,52.0
4.3,377.1,2,59.2,97.4,26.0
14.8,585.7,3,15.4,45.4,8.2
8.5,88.3,2,66.2,24.5,10.1
46.5,1552.7,2,237.7,33.9,79.8
40.5,1087.7,2,28.8,72.0,59.6
31.9,216.4,2,194.3,29.7,60.4
43.6,386.0,2,51.2,81.3,62.0
40.3,234.6,1,68.5,93.5,78.4
9.7,1351.6,2,137.6,96.9,46.3
44.7,216.3,1,35.3,15.8,52.2
27.2,1661.9,1,60.6,96.4,55.0
40.5,54.9,2,122.1,77.9,76.0
44.9,556.1,3,115.4,22.1,38.4
16.2,1960.6,3,262.2,50.3,30.9
5.9,1583.6,2,26.2,74.5,16.3
11.8,169.8,2,301.2,96.3,60.8
21.6,1808.3,1,285.7,29.0,62.5
41.0,1089.7,2,268.1,25.9,78.3
43.1,1864.5,1,108.3,55.1,75.2
0.8,1325.6,1,288.0,97.3,68.6
25.8,1503.2,2,64.0,97.6,49.8
21.2,2185.8,1,43.5,34.4,22.4
11.5,518.8,1,15.7,42.1,7.9
6.4,1376.4,2,328.8,92.2,56.3
17.2,1018.1,1,107.8,77.5,46.8
47.2,96.4,1,321.2,97.6,99.5
16.5,41.7,1,95.4,90.9,48.6
26.2,271.1,1,317.6,33.3,65.9
35.3,1431.5,1,316.4,79.6,99.5
18.5,1252.1,2,323.3,19.1,47.8
48.6,1222.0,1,173.7,84.5,99.5
48.1,79.8,2,303.1,66.1,91.5
13.0,1037.8,1,332.8,96.3,74.7
25.1,2034.9,2,113.6,96.6,58.2
15.4,880.7,2,146.6,19.3,34.8
14.6,1378.6,2,251.7,28.6,45.6
2.3,1717.8,2,105.1,56.2,22.3
30.7,1726.8,3,263.8,89.8,55.1
25.4,1147.2,1,25.9,84.2,47.6
3.0,1888.9,2,183.2,97.0,49.2
14.3,867.1,3,42.8,67.5,13.5
45.5,1956.2,1,102.7,36.8,66.3
12.4,536.1,1,90.5,17.1,19.9
7.7,623.7,1,293.6,33.9,46.7
24.7,126.3,2,67.7,72.4,39.2
49.3,1752.3,1,283.0,93.7,99.5
12.5,923.4,1,277.9,42.3,52.5
33.8,511.8,2,174.6,89.4,79.7
38.2,517.6,2,81.8,48.6,56.1
12.3,1984.1,1,79.4,41.2,20.1
36.5,1836.3,1,162.7,58.3,82.3
18.7,1222.2,2,3.1,52.6,17.0
31.8,1359.3,3,186.0,92.7,52.1
31.9,1048.8,2,333.5,54.8,73.0
